                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0356,                0.81464,                0.99753,                 1.5947,                0.00333,                0.00333,                0.00333
                      2,                0.43036,                0.89876,                0.99897,                 1.5083,              0.0065314,              0.0065314,              0.0065314
                      3,                0.38832,                0.87381,                0.99753,                 1.5264,              0.0096008,              0.0096008,              0.0096008
                      4,                0.45036,                0.89732,                0.99753,                 1.5196,               0.009406,               0.009406,               0.009406
                      5,                0.41306,                0.88495,                0.99732,                 1.5416,               0.009406,               0.009406,               0.009406
                      6,                0.36704,                0.86948,                0.99835,                 1.5494,               0.009208,               0.009208,               0.009208
                      7,                0.32973,                0.82969,                0.99361,                 1.5807,                0.00901,                0.00901,                0.00901
                      8,                0.28965,                0.90433,                0.99814,                 1.4958,               0.008812,               0.008812,               0.008812
                      9,                0.26945,                0.91052,                0.99938,                 1.5051,               0.008614,               0.008614,               0.008614
                     10,                0.23782,                0.94557,                0.99959,                 1.4575,               0.008416,               0.008416,               0.008416
                     11,                0.21407,                 0.9334,                      1,                 1.4592,               0.008218,               0.008218,               0.008218
                     12,                0.21334,                0.93876,                      1,                 1.4691,                0.00802,                0.00802,                0.00802
                     13,                0.18428,                0.94289,                0.99876,                 1.4483,               0.007822,               0.007822,               0.007822
                     14,                0.17375,                0.95485,                      1,                 1.4316,               0.007624,               0.007624,               0.007624
                     15,                0.14791,                0.96371,                      1,                 1.4252,               0.007426,               0.007426,               0.007426
                     16,                0.14546,                0.93299,                0.99979,                 1.4552,               0.007228,               0.007228,               0.007228
                     17,                0.13765,                0.96041,                0.99959,                 1.4229,                0.00703,                0.00703,                0.00703
                     18,                0.12463,                0.97072,                0.99959,                 1.4172,               0.006832,               0.006832,               0.006832
                     19,                0.11071,                0.97567,                0.99959,                 1.4089,               0.006634,               0.006634,               0.006634
                     20,                 0.1111,                0.97258,                0.99959,                 1.4133,               0.006436,               0.006436,               0.006436
                     21,                0.10047,                0.97464,                0.99979,                 1.4089,               0.006238,               0.006238,               0.006238
                     22,                0.08776,                   0.98,                0.99979,                 1.4029,                0.00604,                0.00604,                0.00604
                     23,                0.08187,                0.98124,                      1,                 1.4014,               0.005842,               0.005842,               0.005842
                     24,                0.07219,                0.98041,                0.99979,                 1.3995,               0.005644,               0.005644,               0.005644
                     25,                0.07381,                0.97835,                0.99979,                 1.4015,               0.005446,               0.005446,               0.005446
                     26,                0.06181,                0.98309,                0.99979,                 1.3942,               0.005248,               0.005248,               0.005248
                     27,                0.06134,                0.98763,                0.99979,                 1.3913,                0.00505,                0.00505,                0.00505
                     28,                0.05615,                0.98371,                0.99979,                 1.3943,               0.004852,               0.004852,               0.004852
                     29,                0.04809,                0.98619,                0.99959,                 1.3911,               0.004654,               0.004654,               0.004654
                     30,                 0.0459,                0.98619,                0.99979,                 1.3899,               0.004456,               0.004456,               0.004456
                     31,                0.03453,                0.98866,                0.99979,                  1.387,               0.004258,               0.004258,               0.004258
                     32,                 0.0334,                0.98845,                0.99979,                 1.3874,                0.00406,                0.00406,                0.00406
                     33,                0.03454,                0.98742,                0.99918,                 1.3899,               0.003862,               0.003862,               0.003862
                     34,                0.03101,                0.98722,                0.99959,                 1.3883,               0.003664,               0.003664,               0.003664
                     35,                0.02508,                0.98866,                      1,                 1.3861,               0.003466,               0.003466,               0.003466
                     36,                0.02467,                0.98887,                0.99979,                 1.3858,               0.003268,               0.003268,               0.003268
                     37,                0.02036,                0.98948,                0.99979,                 1.3856,                0.00307,                0.00307,                0.00307
                     38,                0.02112,                0.99093,                0.99979,                 1.3839,               0.002872,               0.002872,               0.002872
                     39,                0.01704,                0.99052,                      1,                 1.3843,               0.002674,               0.002674,               0.002674
                     40,                0.01539,                0.99134,                      1,                 1.3828,               0.002476,               0.002476,               0.002476
                     41,                0.01526,                0.99155,                      1,                  1.382,               0.002278,               0.002278,               0.002278
                     42,                0.01523,                0.99278,                0.99979,                 1.3816,                0.00208,                0.00208,                0.00208
                     43,                0.01173,                0.99361,                      1,                 1.3805,               0.001882,               0.001882,               0.001882
                     44,                0.00957,                0.99402,                      1,                 1.3801,               0.001684,               0.001684,               0.001684
                     45,                0.00807,                0.99381,                      1,                 1.3803,               0.001486,               0.001486,               0.001486
                     46,                0.00968,                 0.9932,                      1,                 1.3807,               0.001288,               0.001288,               0.001288
                     47,                0.00746,                0.99381,                      1,                 1.3805,                0.00109,                0.00109,                0.00109
                     48,                0.00421,                0.99381,                      1,                 1.3803,               0.000892,               0.000892,               0.000892
                     49,                0.00747,                0.99443,                      1,                   1.38,               0.000694,               0.000694,               0.000694
                     50,                0.00648,                0.99464,                      1,                 1.3799,               0.000496,               0.000496,               0.000496
